horse_id,父,母,母父
2023103805,シスキンSiskin(米),パラレルキャリア,シンボリクリスエス
2023106898,エピファネイア,ヴィニー,ディープインパクト
2023100960,フィエールマン,プリヴェット,ルーラーシップ
2023103566,ブラックタイド,ミッドナイトフラッシュMidnight Flash(愛),Anabaa Blue
2023106903,レイデオロ,ヴィルデローゼ,エンパイアメーカーEmpire Maker(米)
2023102932,サトノダイヤモンド,ファインハッピー,Runhappy
2023104302,ルーラーシップ,トウカイメガミ,サンデーサイレンスSunday Silence(米)
2023102210,リオンディーズ,アイアムビューティ,ディープインパクト
2023104714,グレーターロンドン,ラヴィングウェイ,ヴィクトワールピサ
2023102989,フォーウィールドライブFour Wheel Drive(米),アビイロード,ストリートセンスStreet Sense(米)
2023100143,インディチャンプ,ルタンデスリーズ,サクラバクシンオー
2023105482,ブリックスアンドモルタルBricks and Mortar(米),トウカイレーヌ,ディープインパクト
2023103657,フィエールマン,ステファニーラン,スウェプトオーヴァーボードSwept Overboard(米)
2023101140,タワーオブロンドン,デザートチルDesert Chill(米),Red Ransom
2023103518,ベンバトルBenbatl(英),ファビュラスセンス,グラスワンダー
2023100089,セイウンコウセイ,ワタリラッシュ,アドマイヤマックス
2023102237,レイデオロ,マテンロウディーバ,ディープインパクト
2023101445,ミッキーアイル,インテリジェンス,ハービンジャーHarbinger(英)
2023101877,エイシンフラッシュ,キャッチミーアップ,ハーツクライ
2023100097,ダノンバラード,ヤマノアイリー,グラスワンダー
2023104317,ダイシンサンダー,タガノカピート,ケイムホームCame Home(米)
2023101185,タワーオブロンドン,ファストムーン,アドマイヤムーン
2023106758,シルバーステート,ローズテソーロ,ハーツクライ
2023106788,エスポワールシチー,アンティグラビティ,エンパイアメーカーEmpire Maker(米)
2023102354,ブリックスアンドモルタルBricks and Mortar(米),アナンジュパス,ディープインパクト
2023103016,タワーオブロンドン,アキノバレリーナ,ハーツクライ
2023106570,ミッキーアイル,メイショウタラチネ,メイショウボーラー
